,station_index,pm2_5_AVG,pm10_0_atm,date,name,latitude,longitude,altitude,pm2_5_station_median,pm10_0_station_median,pm10_0_daily_median,pm10_0_diff,pm2_5_daily_median,pm2_5_diff,way,distance
31,3225,7.4,10.0,2017-10-16,Wilburton,47.614223,-122.1695,210,3.8,5.1,12.35,-2.35,9.0,-1.5999999999999996,623957745,1.4283923854838974
32,3225,7.7,10.3,2017-10-17,Wilburton,47.614223,-122.1695,210,3.8,5.1,10.3,0.0,7.65,0.0499999999999998,623957745,1.4283923854838974
33,3225,4.5,6.0,2017-10-18,Wilburton,47.614223,-122.1695,210,3.8,5.1,8.3,-2.3000000000000007,6.1,-1.5999999999999996,623957745,1.4283923854838974
34,3225,1.5,1.9,2017-10-19,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.95,-1.0500000000000005,2.25,-0.75,623957745,1.4283923854838974
35,3225,1.5,1.9,2017-10-20,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.8,-0.8999999999999999,2.15,-0.6499999999999999,623957745,1.4283923854838974
36,3225,1.3,1.7,2017-10-21,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.8,-1.1,2.1,-0.8,623957745,1.4283923854838974
37,3225,1.6,2.3,2017-10-22,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.75,-0.4500000000000002,1.9,-0.3,623957745,1.4283923854838974
38,3225,3.7,5.6,2017-10-23,Wilburton,47.614223,-122.1695,210,3.8,5.1,7.3,-1.7000000000000002,4.95,-1.25,623957745,1.4283923854838974
39,3225,4.0,5.5,2017-10-24,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.55,-0.0499999999999998,4.0,0.0,623957745,1.4283923854838974
40,3225,7.6,10.3,2017-10-25,Wilburton,47.614223,-122.1695,210,3.8,5.1,13.15,-2.85,9.55,-1.950000000000001,623957745,1.4283923854838974
41,3225,9.5,13.1,2017-10-26,Wilburton,47.614223,-122.1695,210,3.8,5.1,13.0,0.0999999999999996,9.2,0.3000000000000007,623957745,1.4283923854838974
